"location_name","joinpoint_model","aapc_index","start_obs","end_obs","aapc","aapc_c_i_low","aapc_c_i_high","statistically_significant_0_no_1_yes","test_statistic","p_value","p_value_label","legend","Year","Value","Label","Measure"
"Algeria",4,"Full Range",1990,2021,-3.29,"-3.73","-2.85",1,-14.507,0,"***","1990~2021
-3.29(-3.73~-2.85)***","1990~2021","-3.29 (-3.73~-2.85)","Incidence","Number"
"Algeria",4,"1990.000-1999.000",1990,1999,-5.72,"-6.13","-5.32",1,-26.605,0,"***","1990~1999
-5.72(-6.13~-5.32)***","1990~1999","-5.72 (-6.13~-5.32)","Incidence","Number"
"Algeria",4,"1999.000-2009.000",1999,2009,0.63,"0.25","1.02",1,3.265,0.001,"**","1999~2009
0.63(0.25~1.02)**","1999~2009","0.63 (0.25~1.02)","Incidence","Number"
"Algeria",4,"2009.000-2019.000",2009,2019,10.52,"9.57","11.48",1,22.726,0,"***","2009~2019
10.52(9.57~11.48)***","2009~2019","10.52 (9.57~11.48)","Incidence","Number"
"Algeria",4,"2019.000-2021.000",2019,2021,-54.38,"-56.51","-52.15",1,-34.537,0,"***","2019~2021
-54.38(-56.51~-52.15)***","2019~2021","-54.38 (-56.51~-52.15)","Incidence","Number"
"Algeria",4,"1990.000-2019.000",1990,2019,1.85,"1.48","2.23",1,9.654,0,"***","1990~2019
1.85(1.48~2.23)***","1990~2019","1.85 (1.48~2.23)","Incidence","Number"
"American Samoa",1,"Full Range",1990,2021,-10.2,"-10.68","-9.72",1,-39.282,0,"***","1990~2021
-10.20(-10.68~-9.72)***","1990~2021","-10.20 (-10.68~-9.72)","Incidence","Number"
"American Samoa",1,"1990.000-1999.000",1990,1999,-1.22,"-1.35","-1.09",1,-18.903,0,"***","1990~1999
-1.22(-1.35~-1.09)***","1990~1999","-1.22 (-1.35~-1.09)","Incidence","Number"
"American Samoa",1,"1999.000-2009.000",1999,2009,-1.22,"-1.35","-1.09",1,-18.903,0,"***","1999~2009
-1.22(-1.35~-1.09)***","1999~2009","-1.22 (-1.35~-1.09)","Incidence","Number"
"American Samoa",1,"2009.000-2019.000",2009,2019,-1.22,"-1.35","-1.09",1,-18.903,0,"***","2009~2019
-1.22(-1.35~-1.09)***","2009~2019","-1.22 (-1.35~-1.09)","Incidence","Number"
"American Samoa",1,"2019.000-2021.000",2019,2021,-77.46,"-79.29","-75.46",1,-35.985,0,"***","2019~2021
-77.46(-79.29~-75.46)***","2019~2021","-77.46 (-79.29~-75.46)","Incidence","Number"
"American Samoa",1,"1990.000-2019.000",1990,2019,-1.22,"-1.35","-1.09",1,-18.903,0,"***","1990~2019
-1.22(-1.35~-1.09)***","1990~2019","-1.22 (-1.35~-1.09)","Incidence","Number"
"Andorra",2,"Full Range",1990,2021,-13.88,"-16.18","-11.53",1,-10.847,0,"***","1990~2021
-13.88(-16.18~-11.53)***","1990~2021","-13.88 (-16.18~-11.53)","Incidence","Number"
"Andorra",2,"1990.000-1999.000",1990,1999,-7.05,"-7.87","-6.23",1,-17.167,0,"***","1990~1999
-7.05(-7.87~-6.23)***","1990~1999","-7.05 (-7.87~-6.23)","Incidence","Number"
"Andorra",2,"1999.000-2009.000",1999,2009,-7.05,"-7.87","-6.23",1,-17.167,0,"***","1999~2009
-7.05(-7.87~-6.23)***","1999~2009","-7.05 (-7.87~-6.23)","Incidence","Number"
"Andorra",2,"2009.000-2019.000",2009,2019,-0.11,"-4.18","4.14",0,-0.05,0.96,"","2009~2019
-0.11(-4.18~4.14)","2009~2019","-0.11 (-4.18~4.14)","Incidence","Number"
"Andorra",2,"2019.000-2021.000",2019,2021,-80.14,"-86.29","-71.25",1,-9.013,0,"***","2019~2021
-80.14(-86.29~-71.25)***","2019~2021","-80.14 (-86.29~-71.25)","Incidence","Number"
"Andorra",2,"1990.000-2019.000",1990,2019,-4.71,"-6.20","-3.21",1,-6.037,0,"***","1990~2019
-4.71(-6.20~-3.21)***","1990~2019","-4.71 (-6.20~-3.21)","Incidence","Number"
"Angola",5,"Full Range",1990,2021,1.62,"1.40","1.84",1,14.57,0,"***","1990~2021
1.62(1.40~1.84)***","1990~2021","1.62 (1.40~1.84)","Incidence","Number"
"Angola",5,"1990.000-1999.000",1990,1999,2.34,"2.10","2.58",1,19.284,0,"***","1990~1999
2.34(2.10~2.58)***","1990~1999","2.34 (2.10~2.58)","Incidence","Number"
"Angola",5,"1999.000-2009.000",1999,2009,2.7,"2.21","3.19",1,11.006,0,"***","1999~2009
2.70(2.21~3.19)***","1999~2009","2.70 (2.21~3.19)","Incidence","Number"
"Angola",5,"2009.000-2019.000",2009,2019,4.29,"4.06","4.51",1,38.249,0,"***","2009~2019
4.29(4.06~4.51)***","2009~2019","4.29 (4.06~4.51)","Incidence","Number"
"Angola",5,"2019.000-2021.000",2019,2021,-17.99,"-19.34","-16.62",1,-25.511,0,"***","2019~2021
-17.99(-19.34~-16.62)***","2019~2021","-17.99 (-19.34~-16.62)","Incidence","Number"
"Angola",5,"1990.000-2019.000",1990,2019,3.13,"2.92","3.34",1,29.412,0,"***","1990~2019
3.13(2.92~3.34)***","1990~2019","3.13 (2.92~3.34)","Incidence","Number"
"Antigua and Barbuda",1,"Full Range",1990,2021,-10.1,"-11.78","-8.39",1,-11.055,0,"***","1990~2021
-10.10(-11.78~-8.39)***","1990~2021","-10.10 (-11.78~-8.39)","Incidence","Number"
"Antigua and Barbuda",1,"1990.000-1999.000",1990,1999,3.33,"2.85","3.82",1,14.344,0,"***","1990~1999
3.33(2.85~3.82)***","1990~1999","3.33 (2.85~3.82)","Incidence","Number"
"Antigua and Barbuda",1,"1999.000-2009.000",1999,2009,3.33,"2.85","3.82",1,14.344,0,"***","1999~2009
3.33(2.85~3.82)***","1999~2009","3.33 (2.85~3.82)","Incidence","Number"
"Antigua and Barbuda",1,"2009.000-2019.000",2009,2019,3.33,"2.85","3.82",1,14.344,0,"***","2009~2019
3.33(2.85~3.82)***","2009~2019","3.33 (2.85~3.82)","Incidence","Number"
"Antigua and Barbuda",1,"2019.000-2021.000",2019,2021,-88.07,"-91.15","-83.92",1,-14.602,0,"***","2019~2021
-88.07(-91.15~-83.92)***","2019~2021","-88.07 (-91.15~-83.92)","Incidence","Number"
"Antigua and Barbuda",1,"1990.000-2019.000",1990,2019,3.33,"2.85","3.82",1,14.344,0,"***","1990~2019
3.33(2.85~3.82)***","1990~2019","3.33 (2.85~3.82)","Incidence","Number"
"Argentina",2,"Full Range",1990,2021,-8.97,"-10.11","-7.83",1,-14.687,0,"***","1990~2021
-8.97(-10.11~-7.83)***","1990~2021","-8.97 (-10.11~-7.83)","Incidence","Number"
"Argentina",2,"1990.000-1999.000",1990,1999,-3.24,"-3.80","-2.67",1,-11.623,0,"***","1990~1999
-3.24(-3.80~-2.67)***","1990~1999","-3.24 (-3.80~-2.67)","Incidence","Number"
"Argentina",2,"1999.000-2009.000",1999,2009,-2.64,"-3.14","-2.14",1,-10.145,0,"***","1999~2009
-2.64(-3.14~-2.14)***","1999~2009","-2.64 (-3.14~-2.14)","Incidence","Number"
"Argentina",2,"2009.000-2019.000",2009,2019,2.89,"1.44","4.36",1,4.15,0,"***","2009~2019
2.89(1.44~4.36)***","2009~2019","2.89 (1.44~4.36)","Incidence","Number"
"Argentina",2,"2019.000-2021.000",2019,2021,-73.23,"-77.68","-67.88",1,-14.948,0,"***","2019~2021
-73.23(-77.68~-67.88)***","2019~2021","-73.23 (-77.68~-67.88)","Incidence","Number"
"Argentina",2,"1990.000-2019.000",1990,2019,-0.96,"-1.57","-0.35",1,-3.065,0.002,"**","1990~2019
-0.96(-1.57~-0.35)**","1990~2019","-0.96 (-1.57~-0.35)","Incidence","Number"
"Armenia",4,"Full Range",1990,2021,-3.59,"-5.25","-1.91",1,-4.133,0,"***","1990~2021
-3.59(-5.25~-1.91)***","1990~2021","-3.59 (-5.25~-1.91)","Incidence","Number"
"Armenia",4,"1990.000-1999.000",1990,1999,-6.57,"-7.55","-5.58",1,-13.59,0,"***","1990~1999
-6.57(-7.55~-5.58)***","1990~1999","-6.57 (-7.55~-5.58)","Incidence","Number"
"Armenia",4,"1999.000-2009.000",1999,2009,-2.4,"-6.74","2.14",0,-1.048,0.295,"","1999~2009
-2.40(-6.74~2.14)","1999~2009","-2.40 (-6.74~2.14)","Incidence","Number"
"Armenia",4,"2009.000-2019.000",2009,2019,2.19,"1.26","3.12",1,5,0,"***","2009~2019
2.19(1.26~3.12)***","2009~2019","2.19 (1.26~3.12)","Incidence","Number"
"Armenia",4,"2019.000-2021.000",2019,2021,-21.98,"-31.82","-10.70",1,-3.863,0.001,"**","2019~2021
-21.98(-31.82~-10.70)**","2019~2021","-21.98 (-31.82~-10.70)","Incidence","Number"
"Armenia",4,"1990.000-2019.000",1990,2019,-2.18,"-3.77","-0.56",1,-2.631,0.009,"**","1990~2019
-2.18(-3.77~-0.56)**","1990~2019","-2.18 (-3.77~-0.56)","Incidence","Number"
"Australia",5,"Full Range",1990,2021,-13.48,"-14.13","-12.84",1,-37.913,0,"***","1990~2021
-13.48(-14.13~-12.84)***","1990~2021","-13.48 (-14.13~-12.84)","Incidence","Number"
"Australia",5,"1990.000-1999.000",1990,1999,8.86,"7.03","10.72",1,9.799,0,"***","1990~1999
8.86(7.03~10.72)***","1990~1999","8.86 (7.03~10.72)","Incidence","Number"
"Australia",5,"1999.000-2009.000",1999,2009,-2.6,"-3.10","-2.10",1,-10.021,0,"***","1999~2009
-2.60(-3.10~-2.10)***","1999~2009","-2.60 (-3.10~-2.10)","Incidence","Number"
"Australia",5,"2009.000-2019.000",2009,2019,-0.52,"-1.54","0.50",0,-1,0.317,"","2009~2019
-0.52(-1.54~0.50)","2009~2019","-0.52 (-1.54~0.50)","Incidence","Number"
"Australia",5,"2019.000-2021.000",2019,2021,-91.54,"-92.07","-90.97",1,-81.036,0,"***","2019~2021
-91.54(-92.07~-90.97)***","2019~2021","-91.54 (-92.07~-90.97)","Incidence","Number"
"Australia",5,"1990.000-2019.000",1990,2019,1.56,"0.86","2.26",1,4.415,0,"***","1990~2019
1.56(0.86~2.26)***","1990~2019","1.56 (0.86~2.26)","Incidence","Number"
"Austria",2,"Full Range",1990,2021,-7.11,"-8.61","-5.57",1,-8.83,0,"***","1990~2021
-7.11(-8.61~-5.57)***","1990~2021","-7.11 (-8.61~-5.57)","Incidence","Number"
"Austria",2,"1990.000-1999.000",1990,1999,4.33,"3.16","5.52",1,7.76,0,"***","1990~1999
4.33(3.16~5.52)***","1990~1999","4.33 (3.16~5.52)","Incidence","Number"
"Austria",2,"1999.000-2009.000",1999,2009,0.74,"-0.02","1.51",0,1.915,0.056,"","1999~2009
0.74(-0.02~1.51)","1999~2009","0.74 (-0.02~1.51)","Incidence","Number"
"Austria",2,"2009.000-2019.000",2009,2019,-2.72,"-3.81","-1.62",1,-5.052,0,"***","2009~2019
-2.72(-3.81~-1.62)***","2009~2019","-2.72 (-3.81~-1.62)","Incidence","Number"
"Austria",2,"2019.000-2021.000",2019,2021,-70.84,"-77.08","-62.90",1,-10.568,0,"***","2019~2021
-70.84(-77.08~-62.90)***","2019~2021","-70.84 (-77.08~-62.90)","Incidence","Number"
"Austria",2,"1990.000-2019.000",1990,2019,0.62,"-0.14","1.39",0,1.602,0.109,"","1990~2019
0.62(-0.14~1.39)","1990~2019","0.62 (-0.14~1.39)","Incidence","Number"
"Azerbaijan",0,"Full Range",1990,2021,-3.63,"-5.47","-1.75",1,-3.917,0,"***","1990~2021
-3.63(-5.47~-1.75)***","1990~2021","-3.63 (-5.47~-1.75)","Incidence","Number"
"Azerbaijan",0,"1990.000-1999.000",1990,1999,-3.63,"-5.47","-1.75",1,-3.917,0,"***","1990~1999
-3.63(-5.47~-1.75)***","1990~1999","-3.63 (-5.47~-1.75)","Incidence","Number"
"Azerbaijan",0,"1999.000-2009.000",1999,2009,-3.63,"-5.47","-1.75",1,-3.917,0,"***","1999~2009
-3.63(-5.47~-1.75)***","1999~2009","-3.63 (-5.47~-1.75)","Incidence","Number"
"Azerbaijan",0,"2009.000-2019.000",2009,2019,-3.63,"-5.47","-1.75",1,-3.917,0,"***","2009~2019
-3.63(-5.47~-1.75)***","2009~2019","-3.63 (-5.47~-1.75)","Incidence","Number"
"Azerbaijan",0,"2019.000-2021.000",2019,2021,-3.63,"-5.47","-1.75",1,-3.917,0,"***","2019~2021
-3.63(-5.47~-1.75)***","2019~2021","-3.63 (-5.47~-1.75)","Incidence","Number"
"Azerbaijan",0,"1990.000-2019.000",1990,2019,-3.63,"-5.47","-1.75",1,-3.917,0,"***","1990~2019
-3.63(-5.47~-1.75)***","1990~2019","-3.63 (-5.47~-1.75)","Incidence","Number"
"Bahamas",1,"Full Range",1990,2021,-12.04,"-14.00","-10.04",1,-11.16,0,"***","1990~2021
-12.04(-14.00~-10.04)***","1990~2021","-12.04 (-14.00~-10.04)","Incidence","Number"
"Bahamas",1,"1990.000-1999.000",1990,1999,0.28,"-0.28","0.84",0,1.025,0.314,"","1990~1999
0.28(-0.28~0.84)","1990~1999","0.28 (-0.28~0.84)","Incidence","Number"
"Bahamas",1,"1999.000-2009.000",1999,2009,0.28,"-0.28","0.84",0,1.025,0.314,"","1999~2009
0.28(-0.28~0.84)","1999~2009","0.28 (-0.28~0.84)","Incidence","Number"
"Bahamas",1,"2009.000-2019.000",2009,2019,0.28,"-0.28","0.84",0,1.025,0.314,"","2009~2019
0.28(-0.28~0.84)","2009~2019","0.28 (-0.28~0.84)","Incidence","Number"
"Bahamas",1,"2019.000-2021.000",2019,2021,-86.85,"-90.80","-81.22",1,-11.679,0,"***","2019~2021
-86.85(-90.80~-81.22)***","2019~2021","-86.85 (-90.80~-81.22)","Incidence","Number"
"Bahamas",1,"1990.000-2019.000",1990,2019,0.28,"-0.28","0.84",0,1.025,0.314,"","1990~2019
0.28(-0.28~0.84)","1990~2019","0.28 (-0.28~0.84)","Incidence","Number"
"Bahrain",5,"Full Range",1990,2021,-1.35,"-1.59","-1.11",1,-10.912,0,"***","1990~2021
-1.35(-1.59~-1.11)***","1990~2021","-1.35 (-1.59~-1.11)","Incidence","Number"
"Bahrain",5,"1990.000-1999.000",1990,1999,2.5,"1.90","3.11",1,8.191,0,"***","1990~1999
2.50(1.90~3.11)***","1990~1999","2.50 (1.90~3.11)","Incidence","Number"
"Bahrain",5,"1999.000-2009.000",1999,2009,5.64,"5.37","5.93",1,40.471,0,"***","1999~2009
5.64(5.37~5.93)***","1999~2009","5.64 (5.37~5.93)","Incidence","Number"
"Bahrain",5,"2009.000-2019.000",2009,2019,5.8,"5.60","6.00",1,57.356,0,"***","2009~2019
5.80(5.60~6.00)***","2009~2019","5.80 (5.60~6.00)","Incidence","Number"
"Bahrain",5,"2019.000-2021.000",2019,2021,-58.45,"-59.28","-57.60",1,-92.183,0,"***","2019~2021
-58.45(-59.28~-57.60)***","2019~2021","-58.45 (-59.28~-57.60)","Incidence","Number"
"Bahrain",5,"1990.000-2019.000",1990,2019,4.71,"4.47","4.95",1,39.75,0,"***","1990~2019
4.71(4.47~4.95)***","1990~2019","4.71 (4.47~4.95)","Incidence","Number"
"Bangladesh",1,"Full Range",1990,2021,-6.46,"-7.83","-5.07",1,-8.871,0,"***","1990~2021
-6.46(-7.83~-5.07)***","1990~2021","-6.46 (-7.83~-5.07)","Incidence","Number"
"Bangladesh",1,"1990.000-1999.000",1990,1999,-2.94,"-3.29","-2.58",1,-16.686,0,"***","1990~1999
-2.94(-3.29~-2.58)***","1990~1999","-2.94 (-3.29~-2.58)","Incidence","Number"
"Bangladesh",1,"1999.000-2009.000",1999,2009,-2.94,"-3.29","-2.58",1,-16.686,0,"***","1999~2009
-2.94(-3.29~-2.58)***","1999~2009","-2.94 (-3.29~-2.58)","Incidence","Number"
"Bangladesh",1,"2009.000-2019.000",2009,2019,-2.94,"-3.29","-2.58",1,-16.686,0,"***","2009~2019
-2.94(-3.29~-2.58)***","2009~2019","-2.94 (-3.29~-2.58)","Incidence","Number"
"Bangladesh",1,"2019.000-2021.000",2019,2021,-45.28,"-56.67","-30.90",1,-5.301,0,"***","2019~2021
-45.28(-56.67~-30.90)***","2019~2021","-45.28 (-56.67~-30.90)","Incidence","Number"
"Bangladesh",1,"1990.000-2019.000",1990,2019,-2.94,"-3.29","-2.58",1,-16.686,0,"***","1990~2019
-2.94(-3.29~-2.58)***","1990~2019","-2.94 (-3.29~-2.58)","Incidence","Number"
"Barbados",1,"Full Range",1990,2021,-14.07,"-15.97","-12.14",1,-13.33,0,"***","1990~2021
-14.07(-15.97~-12.14)***","1990~2021","-14.07 (-15.97~-12.14)","Incidence","Number"
"Barbados",1,"1990.000-1999.000",1990,1999,0.06,"-0.49","0.61",0,0.214,0.832,"","1990~1999
0.06(-0.49~0.61)","1990~1999","0.06 (-0.49~0.61)","Incidence","Number"
"Barbados",1,"1999.000-2009.000",1999,2009,0.06,"-0.49","0.61",0,0.214,0.832,"","1999~2009
0.06(-0.49~0.61)","1999~2009","0.06 (-0.49~0.61)","Incidence","Number"
"Barbados",1,"2009.000-2019.000",2009,2019,0.06,"-0.49","0.61",0,0.214,0.832,"","2009~2019
0.06(-0.49~0.61)","2009~2019","0.06 (-0.49~0.61)","Incidence","Number"
"Barbados",1,"2019.000-2021.000",2019,2021,-90.56,"-93.36","-86.56",1,-13.719,0,"***","2019~2021
-90.56(-93.36~-86.56)***","2019~2021","-90.56 (-93.36~-86.56)","Incidence","Number"
"Barbados",1,"1990.000-2019.000",1990,2019,0.06,"-0.49","0.61",0,0.214,0.832,"","1990~2019
0.06(-0.49~0.61)","1990~2019","0.06 (-0.49~0.61)","Incidence","Number"
"Belarus",3,"Full Range",1990,2021,-9.03,"-11.75","-6.24",1,-6.13,0,"***","1990~2021
-9.03(-11.75~-6.24)***","1990~2021","-9.03 (-11.75~-6.24)","Incidence","Number"
"Belarus",3,"1990.000-1999.000",1990,1999,-10.52,"-12.49","-8.51",1,-10.381,0,"***","1990~1999
-10.52(-12.49~-8.51)***","1990~1999","-10.52 (-12.49~-8.51)","Incidence","Number"
"Belarus",3,"1999.000-2009.000",1999,2009,2.09,"-4.12","8.70",0,0.646,0.518,"","1999~2009
2.09(-4.12~8.70)","1999~2009","2.09 (-4.12~8.70)","Incidence","Number"
"Belarus",3,"2009.000-2019.000",2009,2019,-8.74,"-10.30","-7.14",1,-10.985,0,"***","2009~2019
-8.74(-10.30~-7.14)***","2009~2019","-8.74 (-10.30~-7.14)","Incidence","Number"
"Belarus",3,"2019.000-2021.000",2019,2021,-45.86,"-61.09","-24.67",1,-3.863,0.001,"**","2019~2021
-45.86(-61.09~-24.67)**","2019~2021","-45.86 (-61.09~-24.67)","Incidence","Number"
"Belarus",3,"1990.000-2019.000",1990,2019,-5.72,"-7.97","-3.41",1,-4.768,0,"***","1990~2019
-5.72(-7.97~-3.41)***","1990~2019","-5.72 (-7.97~-3.41)","Incidence","Number"
"Belgium",3,"Full Range",1990,2021,-9.24,"-10.25","-8.21",1,-16.919,0,"***","1990~2021
-9.24(-10.25~-8.21)***","1990~2021","-9.24 (-10.25~-8.21)","Incidence","Number"
"Belgium",3,"1990.000-1999.000",1990,1999,3.93,"2.96","4.91",1,8.523,0,"***","1990~1999
3.93(2.96~4.91)***","1990~1999","3.93 (2.96~4.91)","Incidence","Number"
"Belgium",3,"1999.000-2009.000",1999,2009,-10.32,"-10.97","-9.66",1,-29.19,0,"***","1999~2009
-10.32(-10.97~-9.66)***","1999~2009","-10.32 (-10.97~-9.66)","Incidence","Number"
"Belgium",3,"2009.000-2019.000",2009,2019,-3.18,"-4.90","-1.42",1,-3.514,0,"***","2009~2019
-3.18(-4.90~-1.42)***","2009~2019","-3.18 (-4.90~-1.42)","Incidence","Number"
"Belgium",3,"2019.000-2021.000",2019,2021,-62.09,"-67.03","-56.41",1,-14.456,0,"***","2019~2021
-62.09(-67.03~-56.41)***","2019~2021","-62.09 (-67.03~-56.41)","Incidence","Number"
"Belgium",3,"1990.000-2019.000",1990,2019,-3.6,"-4.36","-2.84",1,-9.154,0,"***","1990~2019
-3.60(-4.36~-2.84)***","1990~2019","-3.60 (-4.36~-2.84)","Incidence","Number"
"Belize",1,"Full Range",1990,2021,-11.05,"-12.20","-9.87",1,-17.527,0,"***","1990~2021
-11.05(-12.20~-9.87)***","1990~2021","-11.05 (-12.20~-9.87)","Incidence","Number"
"Belize",1,"1990.000-1999.000",1990,1999,4.01,"3.68","4.35",1,24.846,0,"***","1990~1999
4.01(3.68~4.35)***","1990~1999","4.01 (3.68~4.35)","Incidence","Number"
"Belize",1,"1999.000-2009.000",1999,2009,4.01,"3.68","4.35",1,24.846,0,"***","1999~2009
4.01(3.68~4.35)***","1999~2009","4.01 (3.68~4.35)","Incidence","Number"
"Belize",1,"2009.000-2019.000",2009,2019,4.01,"3.68","4.35",1,24.846,0,"***","2009~2019
4.01(3.68~4.35)***","2009~2019","4.01 (3.68~4.35)","Incidence","Number"
"Belize",1,"2019.000-2021.000",2019,2021,-90.79,"-92.51","-88.67",1,-23.629,0,"***","2019~2021
-90.79(-92.51~-88.67)***","2019~2021","-90.79 (-92.51~-88.67)","Incidence","Number"
"Belize",1,"1990.000-2019.000",1990,2019,4.01,"3.68","4.35",1,24.846,0,"***","1990~2019
4.01(3.68~4.35)***","1990~2019","4.01 (3.68~4.35)","Incidence","Number"
"Benin",5,"Full Range",1990,2021,-1.79,"-2.39","-1.18",1,-5.773,0,"***","1990~2021
-1.79(-2.39~-1.18)***","1990~2021","-1.79 (-2.39~-1.18)","Incidence","Number"
"Benin",5,"1990.000-1999.000",1990,1999,-1.89,"-2.36","-1.42",1,-7.814,0,"***","1990~1999
-1.89(-2.36~-1.42)***","1990~1999","-1.89 (-2.36~-1.42)","Incidence","Number"
"Benin",5,"1999.000-2009.000",1999,2009,2.26,"1.47","3.06",1,5.655,0,"***","1999~2009
2.26(1.47~3.06)***","1999~2009","2.26 (1.47~3.06)","Incidence","Number"
"Benin",5,"2009.000-2019.000",2009,2019,2.36,"1.05","3.68",1,3.547,0,"***","2009~2019
2.36(1.05~3.68)***","2009~2019","2.36 (1.05~3.68)","Incidence","Number"
"Benin",5,"2019.000-2021.000",2019,2021,-34.44,"-37.05","-31.71",1,-22.091,0,"***","2019~2021
-34.44(-37.05~-31.71)***","2019~2021","-34.44 (-37.05~-31.71)","Incidence","Number"
"Benin",5,"1990.000-2019.000",1990,2019,0.99,"0.38","1.60",1,3.201,0.001,"**","1990~2019
0.99(0.38~1.60)**","1990~2019","0.99 (0.38~1.60)","Incidence","Number"
"Bermuda",1,"Full Range",1990,2021,-15.75,"-17.44","-14.02",1,-16.567,0,"***","1990~2021
-15.75(-17.44~-14.02)***","1990~2021","-15.75 (-17.44~-14.02)","Incidence","Number"
"Bermuda",1,"1990.000-1999.000",1990,1999,-2.38,"-2.87","-1.89",1,-9.822,0,"***","1990~1999
-2.38(-2.87~-1.89)***","1990~1999","-2.38 (-2.87~-1.89)","Incidence","Number"
"Bermuda",1,"1999.000-2009.000",1999,2009,-2.38,"-2.87","-1.89",1,-9.822,0,"***","1999~2009
-2.38(-2.87~-1.89)***","1999~2009","-2.38 (-2.87~-1.89)","Incidence","Number"
"Bermuda",1,"2009.000-2019.000",2009,2019,-2.38,"-2.87","-1.89",1,-9.822,0,"***","2009~2019
-2.38(-2.87~-1.89)***","2009~2019","-2.38 (-2.87~-1.89)","Incidence","Number"
"Bermuda",1,"2019.000-2021.000",2019,2021,-90.04,"-92.78","-86.28",1,-14.755,0,"***","2019~2021
-90.04(-92.78~-86.28)***","2019~2021","-90.04 (-92.78~-86.28)","Incidence","Number"
"Bermuda",1,"1990.000-2019.000",1990,2019,-2.38,"-2.87","-1.89",1,-9.822,0,"***","1990~2019
-2.38(-2.87~-1.89)***","1990~2019","-2.38 (-2.87~-1.89)","Incidence","Number"
"Bhutan",2,"Full Range",1990,2021,-12.68,"-14.71","-10.61",1,-11.315,0,"***","1990~2021
-12.68(-14.71~-10.61)***","1990~2021","-12.68 (-14.71~-10.61)","Incidence","Number"
"Bhutan",2,"1990.000-1999.000",1990,1999,-5.47,"-7.17","-3.74",1,-6.405,0,"***","1990~1999
-5.47(-7.17~-3.74)***","1990~1999","-5.47 (-7.17~-3.74)","Incidence","Number"
"Bhutan",2,"1999.000-2009.000",1999,2009,-11.02,"-11.98","-10.05",1,-21.191,0,"***","1999~2009
-11.02(-11.98~-10.05)***","1999~2009","-11.02 (-11.98~-10.05)","Incidence","Number"
"Bhutan",2,"2009.000-2019.000",2009,2019,-14.54,"-15.78","-13.28",1,-22.2,0,"***","2009~2019
-14.54(-15.78~-13.28)***","2009~2019","-14.54 (-15.78~-13.28)","Incidence","Number"
"Bhutan",2,"2019.000-2021.000",2019,2021,-38.1,"-56.19","-12.54",1,-2.864,0.009,"**","2019~2021
-38.10(-56.19~-12.54)**","2019~2021","-38.10 (-56.19~-12.54)","Incidence","Number"
