"location_name","joinpoint_model","aapc_index","start_obs","end_obs","aapc","aapc_c_i_low","aapc_c_i_high","statistically_significant_0_no_1_yes","test_statistic","p_value","p_value_label","legend","Year","Value","Label","Measure"
"Afghanistan",5,"Full Range",1990,2021,-3.31,"-4.23","-2.37",1,-6.834,0,"***","1990~2021
-3.31(-4.23~-2.37)***","1990~2021","-3.31 (-4.23~-2.37)","Incidence","Number"
"Afghanistan",5,"1990.000-1999.000",1990,1999,4.76,"2.19","7.39",1,3.67,0,"***","1990~1999
4.76(2.19~7.39)***","1990~1999","4.76 (2.19~7.39)","Incidence","Number"
"Afghanistan",5,"1999.000-2009.000",1999,2009,-0.94,"-2.54","0.69",0,-1.135,0.256,"","1999~2009
-0.94(-2.54~0.69)","1999~2009","-0.94 (-2.54~0.69)","Incidence","Number"
"Afghanistan",5,"2009.000-2019.000",2009,2019,0.82,"0.59","1.05",1,7.723,0,"***","2009~2019
0.82(0.59~1.05)***","2009~2019","0.82 (0.59~1.05)","Incidence","Number"
"Afghanistan",5,"2019.000-2021.000",2019,2021,-51.5,"-54.28","-48.56",1,-26.184,0,"***","2019~2021
-51.50(-54.28~-48.56)***","2019~2021","-51.50 (-54.28~-48.56)","Incidence","Number"
"Afghanistan",5,"1990.000-2019.000",1990,2019,1.41,"0.44","2.39",1,2.854,0.004,"**","1990~2019
1.41(0.44~2.39)**","1990~2019","1.41 (0.44~2.39)","Incidence","Number"
"Albania",1,"Full Range",1990,2021,-18.78,"-21.47","-16.01",1,-12.137,0,"***","1990~2021
-18.78(-21.47~-16.01)***","1990~2021","-18.78 (-21.47~-16.01)","Incidence","Number"
"Albania",1,"1990.000-1999.000",1990,1999,-9.11,"-9.87","-8.35",1,-23.499,0,"***","1990~1999
-9.11(-9.87~-8.35)***","1990~1999","-9.11 (-9.87~-8.35)","Incidence","Number"
"Albania",1,"1999.000-2009.000",1999,2009,-9.11,"-9.87","-8.35",1,-23.499,0,"***","1999~2009
-9.11(-9.87~-8.35)***","1999~2009","-9.11 (-9.87~-8.35)","Incidence","Number"
"Albania",1,"2009.000-2019.000",2009,2019,-9.11,"-9.87","-8.35",1,-23.499,0,"***","2009~2019
-9.11(-9.87~-8.35)***","2009~2019","-9.11 (-9.87~-8.35)","Incidence","Number"
"Albania",1,"2019.000-2021.000",2019,2021,-84.11,"-90.66","-72.96",1,-7.1,0,"***","2019~2021
-84.11(-90.66~-72.96)***","2019~2021","-84.11 (-90.66~-72.96)","Incidence","Number"
"Albania",1,"1990.000-2019.000",1990,2019,-9.11,"-9.87","-8.35",1,-23.499,0,"***","1990~2019
-9.11(-9.87~-8.35)***","1990~2019","-9.11 (-9.87~-8.35)","Incidence","Number"
